Date,Open,High,Low,Close,Adj Close,Volume
2020-03-27,48.279999,50.200001,47.849998,49.250000,47.594608,1476600
2020-03-30,49.490002,50.790001,49.389999,50.580002,48.879906,1889500
2020-03-31,50.770000,51.330002,50.160000,50.570000,48.870239,1713400
2020-04-01,49.369999,50.290001,49.130001,49.180000,47.526962,1272000
2020-04-02,49.849998,50.950001,49.619999,50.770000,49.063519,1558200
2020-04-03,49.919998,50.340000,49.380001,49.799999,48.126118,1326000
2020-04-06,51.070000,51.540001,50.860001,51.259998,49.537048,1945500
2020-04-07,52.169998,52.169998,50.509998,50.509998,48.812256,1877000
2020-04-08,51.250000,51.580002,50.639999,51.259998,49.537048,1429500
2020-04-09,52.080002,52.110001,51.310001,51.730000,49.991249,1232900
2020-04-13,51.500000,51.830002,50.990002,51.650002,49.913937,774500
2020-04-14,52.990002,53.560001,52.669998,53.290001,51.498817,1676500
2020-04-15,51.880001,52.490002,51.720001,52.009998,50.261833,1262900
2020-04-16,51.810001,52.480000,51.599998,52.279999,50.522758,2139000
2020-04-17,52.599998,53.060001,51.689999,52.889999,51.112255,1905800
2020-04-20,53.029999,54.349998,52.810001,53.590000,51.788731,2591400
2020-04-21,52.560001,53.099998,52.070000,52.759998,50.986626,2880300
2020-04-22,53.169998,53.240002,52.610001,52.939999,51.160576,1526300
2020-04-23,52.040001,52.630001,51.480000,51.529999,49.797966,1384000
2020-04-24,51.259998,51.790001,51.020000,51.580002,49.846291,1090500
2020-04-27,51.869999,51.939999,51.310001,51.509998,49.778645,804500
2020-04-28,51.520000,51.529999,50.919998,50.970001,49.256798,1406300
2020-04-29,51.830002,51.910000,51.430000,51.630001,49.894608,1323500
2020-04-30,52.720001,52.720001,51.660000,51.869999,50.126537,1235500
2020-05-01,51.910000,52.080002,51.360001,51.500000,49.768982,1130800
2020-05-04,50.730000,51.029999,50.310001,50.959999,49.247131,1173700
2020-05-05,50.599998,50.959999,50.439999,50.610001,48.908890,1609700
2020-05-06,50.700001,50.730000,49.750000,49.779999,48.106792,1087100
2020-05-07,50.700001,50.919998,50.160000,50.549999,48.850910,1218800
2020-05-08,51.470001,51.990002,51.049999,51.880001,50.136208,2432100
2020-05-11,51.570000,52.439999,51.430000,52.200001,50.445454,1627300
2020-05-12,52.459999,52.669998,51.880001,51.880001,50.136208,1021200
2020-05-13,52.169998,52.400002,51.520000,51.779999,50.039566,1065000
2020-05-14,50.830002,51.099998,50.419998,50.990002,49.703278,1302100
2020-05-15,50.700001,51.209999,50.660000,51.209999,49.917725,1532800
2020-05-18,51.790001,52.639999,51.630001,52.450001,51.126431,1327700
2020-05-19,51.490002,51.599998,50.660000,50.669998,49.391350,1624500
2020-05-20,51.320000,51.720001,51.209999,51.430000,50.132168,1124800
2020-05-21,51.389999,51.480000,50.790001,50.840000,49.557060,1287600
2020-05-22,50.360001,50.880001,50.230000,50.770000,49.488827,991300
2020-05-26,51.500000,51.529999,51.000000,51.080002,49.791004,1110400
2020-05-27,50.779999,52.290001,50.759998,52.240002,50.921734,1685100
2020-05-28,53.270000,53.970001,53.240002,53.610001,52.257160,2425100
2020-05-29,54.490002,54.529999,53.570000,54.049999,52.686050,1530600
2020-06-01,54.230000,54.540001,54.029999,54.389999,53.017475,824400
2020-06-02,54.570000,54.799999,54.299999,54.650002,53.270916,859700
